movie_ID,movie_Title,movie_Year,movie_Director,movie_DirectorID,bestPicture,AFIRank,studio
1461,The Wild Bunch ,1969,Sam Peckinpah,49, ,80,Warner Bros.-Seven Arts
1464,Platoon ,1986,Oliver Stone,50,Y,83,Orion
1465,Fargo ,1996,Joel Coen,51, ,84,Gramercy Pics./Polygram
1466,Duck Soup ,1933,Leo McCarey,52, ,85,Paramount
1467,Mutiny on the Bounty ,1935,Frank Lloyd,53,Y,86,MGM
1468,Frankenstein ,1931,James Whale,54, ,87,Universal
1469,Easy Rider ,1969,Dennis Hopper,55, ,88,Columbia
1470,Patton ,1970,Franklin J. Schaffner,56,Y,89,20th Century Fox
1471,The Jazz Singer ,1927,Alan Crosland,57, ,90,Warner Bros.
1476,Pulp Fiction ,1994,Quentin Tarantino,58, ,95,A Band Apart/Jersey/Miramax
1478,Bringing Up Baby ,1938,Howard Hawks,59, ,97,RKO
1479,Unforgiven ,1992,Clint Eastwood,60, ,98,Malpaso/Warner Bros.
1480,Guess Who's Coming to Dinner ,1967,Stanley Kramer,61, ,99,Columbia
1425,King Kong ,1933,Merian Cooper,62, ,43,RKO
1459,Rocky ,1976,John G. Avildsen,63,Y,78,United Artists
1430,Snow White and the Seven Dwarfs ,1937,NA,64, ,49,RKO/Walt Disney
